player,search,mean_steps,std_steps,mean_score,std_score,mean_deliveries,std_deliveries,mean_battery,std_battery,pct_score_neg,pct_batt_neg,mean_search_ms,std_search_ms,mean_time_ms,std_time_ms
AdaptivePlayer,AStarSearch,103.65,20.89,-25.01,103.74,4.0,0.06,-27.7,25.4,53.67,89.67,0.1,0.06,8.1,3.49
AdaptivePlayer,DijkstraSearch,103.65,20.89,-24.91,103.84,4.0,0.06,-27.49,25.8,53.67,89.67,0.33,0.1,9.28,3.46
AdaptivePlayer,GreedySearch,108.25,23.8,-42.68,115.5,4.0,0.06,-30.17,28.32,58.67,91.67,0.05,0.02,6.89,2.95
AdaptivePlayer,WeightedAStarSearch,104.53,21.5,-28.25,106.61,4.0,0.06,-28.07,26.19,55.0,89.33,0.05,0.03,6.79,2.88
ClusterAdaptivePlayer,AStarSearch,104.46,20.13,-30.34,101.29,4.0,0.06,-29.37,24.4,56.0,91.33,0.11,0.06,8.88,3.49
ClusterAdaptivePlayer,DijkstraSearch,104.46,20.13,-30.25,101.41,4.0,0.06,-29.16,24.83,56.0,91.33,0.36,0.13,10.06,3.46
ClusterAdaptivePlayer,GreedySearch,109.1,22.81,-48.37,112.25,4.0,0.06,-31.32,27.95,62.0,93.67,0.06,0.03,7.64,3.23
ClusterAdaptivePlayer,WeightedAStarSearch,105.34,20.64,-34.14,103.79,4.0,0.06,-29.55,25.63,58.33,91.33,0.06,0.04,7.99,3.43
DefaultPlayer,AStarSearch,115.6,26.86,-82.42,134.66,3.99,0.23,-37.44,33.75,67.33,93.67,0.11,0.09,1.03,0.49
DefaultPlayer,DijkstraSearch,115.6,26.86,-82.2,134.52,3.99,0.23,-37.44,33.75,67.33,93.67,0.4,0.12,3.29,0.95
DefaultPlayer,GreedySearch,121.32,29.31,-104.0,144.15,3.99,0.23,-39.56,37.1,74.0,95.0,0.06,0.06,0.6,0.24
DefaultPlayer,WeightedAStarSearch,116.75,27.51,-87.44,139.03,3.99,0.23,-37.4,35.59,68.0,93.67,0.07,0.07,0.63,0.29
DoubleBatchPlayer,AStarSearch,113.59,20.32,-67.73,103.93,4.0,0.06,-34.86,28.24,69.67,94.67,0.12,0.06,4.84,1.9
DoubleBatchPlayer,DijkstraSearch,113.59,20.32,-67.97,103.75,4.0,0.06,-34.62,28.71,69.67,95.0,0.41,0.11,7.03,1.9
DoubleBatchPlayer,GreedySearch,119.71,22.8,-92.64,117.38,4.0,0.06,-36.56,33.7,75.33,94.67,0.06,0.03,4.09,1.49
DoubleBatchPlayer,WeightedAStarSearch,114.97,20.98,-75.62,110.36,4.0,0.06,-35.19,30.83,71.67,94.0,0.07,0.05,4.77,1.87
FullBatchPlayer,AStarSearch,131.97,19.25,-156.89,110.08,4.0,0.06,-49.53,35.24,90.67,99.0,0.13,0.06,5.53,2.04
FullBatchPlayer,DijkstraSearch,131.97,19.25,-157.05,108.73,4.0,0.06,-49.6,35.04,91.0,98.33,0.46,0.14,8.68,2.77
FullBatchPlayer,GreedySearch,139.05,21.94,-189.35,124.82,4.0,0.06,-54.08,40.05,93.0,99.67,0.07,0.03,5.13,1.95
FullBatchPlayer,WeightedAStarSearch,133.49,19.73,-163.73,113.8,4.0,0.06,-49.84,37.17,91.0,98.67,0.07,0.03,5.01,1.93
OptimalPlayer,AStarSearch,87.31,13.21,48.25,62.61,4.0,0.06,-12.61,19.23,22.0,82.33,0.07,0.02,17.35,3.24
OptimalPlayer,DijkstraSearch,87.31,13.21,48.54,62.49,4.0,0.06,-12.36,19.55,21.67,82.33,0.27,0.06,19.01,6.01
OptimalPlayer,GreedySearch,90.73,14.74,33.8,70.66,4.0,0.06,-15.11,21.16,28.67,85.0,0.04,0.01,16.83,3.08
OptimalPlayer,WeightedAStarSearch,87.82,13.52,45.12,63.95,4.0,0.06,-13.2,19.57,23.33,83.33,0.04,0.01,17.35,3.55
OptimalRechargerPlayer,AStarSearch,92.33,16.24,102.64,23.0,4.0,0.06,14.32,15.38,0.33,23.0,0.06,0.02,275.53,50.38
OptimalRechargerPlayer,DijkstraSearch,92.33,16.24,102.64,23.0,4.0,0.06,14.32,15.38,0.33,23.0,0.26,0.06,272.75,47.39
OptimalRechargerPlayer,GreedySearch,96.05,18.44,94.2,32.52,4.0,0.06,13.14,16.41,2.33,32.0,0.04,0.01,273.78,48.22
OptimalRechargerPlayer,WeightedAStarSearch,92.81,16.52,101.61,23.99,4.0,0.06,14.31,15.69,0.33,23.67,0.04,0.02,277.02,47.43
RechargerPlayer,AStarSearch,133.27,36.44,64.73,38.6,3.96,0.2,35.2,9.02,4.67,0.0,0.14,0.07,14.79,6.27
RechargerPlayer,DijkstraSearch,133.27,36.44,64.73,38.6,3.96,0.2,35.2,9.02,4.67,0.0,0.43,0.14,14.46,5.06
RechargerPlayer,GreedySearch,141.32,41.84,51.1,50.76,3.96,0.2,34.38,9.08,12.0,26.67,0.06,0.02,10.85,4.81
RechargerPlayer,WeightedAStarSearch,133.98,36.93,63.57,39.34,3.96,0.2,35.07,9.05,5.0,5.0,0.05,0.03,9.24,3.6
