alpha,gamma,epsilon,avg_score
0.1,0.5,0.01,210762.74800422633
0.1,0.5,0.05,202855.83949641293
0.1,0.5,0.1,132504.4268899956
0.1,0.5,0.2,88481.1299369704
0.1,0.7,0.01,208991.45265371513
0.1,0.7,0.05,239449.6962638189
0.1,0.7,0.1,151258.69288436908
0.1,0.7,0.2,176835.45109702507
0.1,0.9,0.01,209098.47725060067
0.1,0.9,0.05,177222.54854057226
0.1,0.9,0.1,204791.21801171033
0.1,0.9,0.2,230459.91668290156
0.1,0.99,0.01,223241.6522437062
0.1,0.99,0.05,194979.68801550355
0.1,0.99,0.1,81240.58239656943
0.1,0.99,0.2,113026.17108851176
0.3,0.5,0.01,183223.81865398074
0.3,0.5,0.05,87718.28710543376
0.3,0.5,0.1,75615.72370460203
0.3,0.5,0.2,81888.86928066197
0.3,0.7,0.01,229780.9498232672
0.3,0.7,0.05,205649.56728504214
0.3,0.7,0.1,158471.16704423205
0.3,0.7,0.2,154813.50117997665
0.3,0.9,0.01,212747.0270088669
0.3,0.9,0.05,198835.13465780093
0.3,0.9,0.1,229247.8392540608
0.3,0.9,0.2,229958.7173616904
0.3,0.99,0.01,222829.30732042834
0.3,0.99,0.05,232673.63590204556
0.3,0.99,0.1,243698.16937815453
0.3,0.99,0.2,235963.15075791083
0.5,0.5,0.01,124388.46436737012
0.5,0.5,0.05,81021.27758748403
0.5,0.5,0.1,84104.57873948432
0.5,0.5,0.2,81484.36426676343
0.5,0.7,0.01,226129.8595271041
0.5,0.7,0.05,230308.39173091328
0.5,0.7,0.1,197182.5487215818
0.5,0.7,0.2,160114.8423701639
0.5,0.9,0.01,211635.09407850433
0.5,0.9,0.05,241383.49254012157
0.5,0.9,0.1,221093.16513749646
0.5,0.9,0.2,230701.5179379623
0.5,0.99,0.01,210331.27614303958
0.5,0.99,0.05,241780.41551212085
0.5,0.99,0.1,241910.83643133586
0.5,0.99,0.2,233841.27412778977
0.7,0.5,0.01,118570.23264591266
0.7,0.5,0.05,68790.68569789384
0.7,0.5,0.1,69891.96679653163
0.7,0.5,0.2,81375.48194650999
0.7,0.7,0.01,235240.55054997528
0.7,0.7,0.05,162034.47554463398
0.7,0.7,0.1,140092.54331425158
0.7,0.7,0.2,162227.14793655043
0.7,0.9,0.01,210730.63349986306
0.7,0.9,0.05,243655.9696473705
0.7,0.9,0.1,238240.78723766466
0.7,0.9,0.2,221264.47266916643
0.7,0.99,0.01,219676.38018628955
0.7,0.99,0.05,239863.00711184437
0.7,0.99,0.1,235790.56349732916
0.7,0.99,0.2,233680.4283315323
0.9,0.5,0.01,86183.38846079582
0.9,0.5,0.05,72083.00798640445
0.9,0.5,0.1,76558.70473614479
0.9,0.5,0.2,94124.06870168903
0.9,0.7,0.01,205166.40536290372
0.9,0.7,0.05,154517.7392824121
0.9,0.7,0.1,147393.86826650906
0.9,0.7,0.2,163089.55549802622
0.9,0.9,0.01,234255.10919979852
0.9,0.9,0.05,236354.33019685312
0.9,0.9,0.1,233062.11359826152
0.9,0.9,0.2,226469.24248725743
0.9,0.99,0.01,240403.7609372201
0.9,0.99,0.05,244205.4993242783
0.9,0.99,0.1,237537.31869477476
0.9,0.99,0.2,232242.01550917584
