round,reward
1,0
2,58.77855153273423
3,0
4,50.0
5,0
6,50.0
7,0
8,0
9,50.0
10,0
11,75.65639609052663
12,50.0
13,50.0
14,85.90159791360638
15,85.76019261833282
16,64.17388593419021
17,100
18,100
19,65.26221293247575
20,121.40230837370397
21,86.61715317991174
22,0
23,50.0
24,0
25,76.17947519797886
26,0
27,50.0
28,0
29,50.0
30,0
31,0
32,0
33,0
34,0
35,0
36,229.15774270886936
37,0
38,0
39,0
40,210.50525758086428
41,100
42,162.5879604194524
43,154.1805986098134
44,91.28216463515461
45,100
46,100
47,100
48,95.5090354260148
49,164.0360588935005
50,50.0
51,167.4451136813483
52,50.0
53,107.6500313048906
54,123.46164929732731
55,50.0
56,71.51302014340118
57,156.2812560568932
58,50.0
59,100
60,0
61,114.6357259533369
62,100
63,0
64,0
65,0
66,133.85005425595375
67,0
68,0
69,50.0
70,100
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,57.73023737632011
82,130.09904974714456
83,100
84,50.0
85,222.34570062620023
86,80.65328146008648
87,100
88,50.0
89,128.52784176577322
90,100
91,50.0
92,0
93,100
94,0
95,100
96,0
97,64.1885300742585
98,0
99,166.81168251494853
100,0
101,271.09900585380717
102,0
103,103.15891211307704
104,183.24731480960043
105,0
106,0
107,50.0
108,250.8767371372886
109,0
110,0
111,50.0
112,52.74384790652044
113,50.0
114,50.0
115,157.40126482114664
116,53.4897520265591
117,100
118,100.12237494507922
119,100
120,0
121,0
122,0
123,0
124,165.94331067417878
125,0
126,0
127,0
128,0
129,0
130,0
131,100
132,104.7904543306263
133,100
134,100
135,156.6196181994077
136,0
137,100
138,0
139,168.6146243924222
140,0
141,0
142,100
143,0
144,0
145,0
146,0
147,118.17480227218198
148,203.41379516441697
149,50.0
150,118.63828440935819
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,210.48888406866672
168,50.0
169,0
170,83.24578377881676
171,0
172,0
173,0
174,50.0
175,244.12360906961047
176,50.0
177,0
178,0
179,0
180,0
181,50.0
182,0
183,63.043213472131875
184,0
185,116.4177933996367
186,0
187,152.13728079898473
188,0
189,100
190,0
191,100
192,110.87608617924496
193,197.89370948904514
194,93.73684081251784
195,193.50846280266006
196,50.0
197,195.97001023955588
198,50.0
199,169.15097909042348
200,0
201,189.18282145960802
202,134.89750582308443
203,144.13237594470797
204,99.68227142681194
205,171.52003696981785
206,50.0
207,128.2835361212423
208,76.70563364283882
209,100
210,50.0
211,100
212,0
213,100
214,0
215,100
216,0
217,128.0138125640198
218,0
219,145.81244191747567
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,50.0
232,68.99694881692382
233,100
234,0
235,177.5277735315866
236,0
237,50.0
238,152.7769206604284
239,0
240,0
241,127.40156259672204
242,0
243,100
244,0
245,137.7852572562097
246,0
247,100
248,0
249,151.46837116442185
250,0
251,116.94867905713895
252,0
253,100
254,120.78699621934994
255,100
256,147.68486768177746
257,50.0
258,100
259,0
260,100
261,110.52590405236394
262,0
263,63.481375324033124
264,0
265,50.0
266,0
267,50.0
268,0
269,50.0
270,0
271,85.6911616584908
272,100
273,50.0
274,100
275,50.0
276,100
277,50.0
278,100
279,54.903358608370716
280,100
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,50.0
302,133.96178918813553
303,122.3575037524622
304,50.0
305,100
306,123.8595854016182
307,102.41719366824509
308,109.79516524039408
309,85.79105495485884
310,0
311,154.74437396980173
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,50.0
332,0
333,50.0
334,0
335,94.7793586850764
336,0
337,50.0
338,0
339,50.36082005417198
340,0
341,67.55628613322867
342,109.70032788808032
343,94.24270394523938
344,100
345,50.0
346,100
347,100
348,106.3855279732611
349,100
350,85.35900646263146
351,100
352,0
353,0
354,114.78706230803297
355,0
356,0
357,0
358,100
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,180.28688408958382
372,50.0
373,106.51720605765253
374,50.0
375,100
376,50.0
377,100
378,83.23304516684588
379,208.42241575486145
380,0
381,0
382,0
383,50.0
384,0
385,83.00008452551921
386,0
387,79.74432277859896
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,100
402,50.0
403,208.61190834154155
404,101.73760853887595
405,389.8068733340867
406,50.0
407,100
408,50.0
409,154.8368643029799
410,0
411,127.0772285417111
412,50.0
413,100
414,131.64037392123305
415,156.43001333525737
416,59.802509561086886
417,208.3402421975388
418,50.0
419,100
420,115.3701391986863
421,103.1217195907724
422,0
423,128.7504702108831
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,131.78131116631948
432,0
433,61.29313080923507
434,0
435,50.0
436,0
437,78.19245619105112
438,0
439,50.0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,57.615703017670995
462,0
463,50.0
464,0
465,81.22729495737177
466,100
467,97.84304180347915
468,0
469,52.64327431946056
470,100
471,50.0
472,100
473,0
474,0
475,186.22925224672122
476,0
477,50.0
478,100
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,116.66209519165179
492,0
493,50.0
494,0
495,128.42597403004848
496,0
497,108.5911476561439
498,0
499,50.0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,50.0
512,100
513,175.22996978245348
514,187.23524602282652
515,50.0
516,112.88960193052783
517,50.0
518,100
519,50.0
520,110.40199297074852
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,100
535,143.2251043430899
536,0
537,0
538,111.80787281504536
539,0
540,269.5647210317506
541,100
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,50.0
552,100
553,88.07082099181082
554,100
555,60.143803493468205
556,188.5510598555103
557,64.36428310187307
558,127.70281524897968
559,50.0
560,0
561,100
562,0
563,100
564,0
565,100
566,0
567,100
568,0
569,100
570,0
571,111.9982360888486
572,54.109626886322545
573,281.42069960752394
574,50.0
575,100
576,50.0
577,100
578,50.0
579,253.6497353266331
580,50.0
581,116.95228930293135
582,50.0
583,100
584,77.3134932800212
585,105.06367364506703
586,50.0
587,100
588,50.0
589,297.71346513278775
590,0
591,100
592,0
593,114.85162982799612
594,0
595,208.36934245820453
596,0
597,126.74244542299228
598,0
599,100
600,0
601,106.95362496042256
602,0
603,100
604,0
605,100
606,0
607,100
608,0
609,100
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,100
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,50.0
632,0
633,0
634,0
635,50.0
636,0
637,0
638,100
639,50.0
640,100
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,171.63271071929347
651,77.15439872398778
652,100
653,105.93733991818422
654,233.90728288535774
655,100
656,74.34979721027642
657,100
658,111.61175638422935
659,334.2010974068556
660,0
661,50.0
662,0
663,121.94046827097668
664,0
665,129.38364174212205
666,0
667,106.57709966824395
668,0
669,50.0
670,0
671,100
672,237.96380797259454
673,244.71676124126878
674,100
675,100
676,127.81695302779205
677,194.73218923372158
678,101.55747858573112
679,159.03046334437576
680,100
681,100
682,0
683,0
684,0
685,0
686,0
687,0
688,126.1229408102442
689,0
690,100
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,100
703,100
704,123.64860894632317
705,0
706,368.08617033342466
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,100
722,120.21974887974845
723,170.25899375326543
724,51.36407952488143
725,119.59436116919038
726,59.89276107435851
727,100
728,50.0
729,274.89327924033944
730,170.2038413146202
731,50.0
732,0
733,154.95890796002055
734,0
735,142.7410653034878
736,0
737,128.06086355880632
738,0
739,100
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,218.63648793070192
752,100
753,135.06950165272082
754,100
755,0
756,100
757,0
758,72.60206383807571
759,100
760,216.92473857365223
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,148.7693702386891
782,100
783,100
784,115.7293180748992
785,100
786,116.20685217841071
787,100
788,195.28760578949365
789,100
790,0
791,100
792,0
793,0
794,0
795,0
796,0
